"job_id","job_title","company_name","job_location","job_schedule_type","salary_year_avg","job_posted_date"
226942,"Data Analyst","Mantys","Anywhere","Full-time","650000.0","2023-02-20 15:13:33"
547382,"Director of Analytics","Meta","Anywhere","Full-time","336500.0","2023-08-23 12:04:42"
552322,"Associate Director- Data Insights","AT&T","Anywhere","Full-time","255829.5","2023-06-18 16:03:12"
99305,"Data Analyst, Marketing","Pinterest Job Advertisements","Anywhere","Full-time","232423.0","2023-12-05 20:00:40"
1021647,"Data Analyst (Hybrid/Remote)","Uclahealthcareers","Anywhere","Full-time","217000.0","2023-01-17 00:17:23"
168310,"Principal Data Analyst (Remote)","SmartAsset","Anywhere","Full-time","205000.0","2023-08-09 11:00:01"
731368,"Director, Data Analyst - HYBRID","Inclusively","Anywhere","Full-time","189309.0","2023-12-07 15:00:13"
310660,"Principal Data Analyst, AV Performance Analysis","Motional","Anywhere","Full-time","189000.0","2023-01-05 00:00:25"
1749593,"Principal Data Analyst","SmartAsset","Anywhere","Full-time","186000.0","2023-07-11 16:00:05"
387860,"ERM Data Analyst","Get It Recruit - Information Technology","Anywhere","Full-time","184000.0","2023-06-09 08:01:04"
987523,"Azure Data Python Consultant - contract to HIRE - Citizen or Perm...","Kelly Science, Engineering, Technology & Telecom","Anywhere","Contractor","170000.0","2023-01-23 22:28:01"
1781684,"DTCC Data Analyst","Robert Half","Anywhere","Full-time","170000.0","2023-10-06 00:01:41"
1352513,"REMOTE Director of Data Analytics","A-Line Staffing Solutions","Anywhere","Full-time","170000.0","2023-08-09 14:02:45"
1525451,"Manager, Data Analyst","Uber","Anywhere","Full-time","167000.0","2023-04-18 07:01:17"
1246069,"Data Analyst","Plexus Resource Solutions","Anywhere","Full-time","165000.0","2023-12-08 09:16:37"
712473,"Data Analyst","Get It Recruit - Information Technology","Anywhere","Full-time","165000.0","2023-08-14 16:01:19"
1423236,"Principal Data Science Analyst- Remote","Mayo Clinic","Anywhere","Full-time","164746.0","2023-01-13 13:04:39"
1799883,"Principal Data Science Analyst- Remote","Mayo Clinic","Anywhere","Full-time","164746.0","2023-04-14 12:05:19"
618890,"Principal Data Intelligence Analyst - Cardiac - Remote","CEDARS-SINAI","Anywhere","Full-time","163500.0","2023-09-20 13:00:44"
918213,"Senior - Data Analyst","DIRECTV","Anywhere","Full-time","160515.0","2023-06-14 21:01:17"
182813,"Principal Data Analyst","Get It Recruit - Information Technology","Anywhere","Full-time","160000.0","2023-10-13 09:00:52"
783771,"SQL DEVELOPER / DATA ANALYST (Insurance industry Experience) ...","Robert Half","Anywhere","Full-time","160000.0","2023-01-30 02:02:22"
475626,"Principal Data Analyst","Realtime Recruitment","Anywhere","Full-time","160000.0","2023-02-02 14:16:03"
266799,"Applied Scientist - Maps","Uber","Anywhere","Full-time","157500.0","2023-10-13 07:03:27"
485388,"System Data Analyst","Edgewater Federal Solutions, Inc.","Anywhere","","157500.0","2023-07-17 18:00:47"
25761,"Data Analyst - Remote","CaptivateIQ","Anywhere","Full-time","155485.5","2023-09-01 16:41:57"
105157,"Lead Data Analyst","Motion Recruitment","Anywhere","Full-time","155000.0","2023-01-05 08:00:45"
795614,"Staff Business Data Analyst (Remote U.S. OK)","Zscaler","Anywhere","Full-time","152625.0","2023-03-11 07:01:56"
565646,"Staff Business Data Analyst (Remote U.S. OK)","Zscaler","Anywhere","Full-time","152625.0","2023-03-07 07:01:47"
540057,"Lead Data Analyst, Growth (Remote)","Rocket Money","Anywhere","Full-time","152500.0","2023-03-24 07:00:42"
72957,"Management & Program Analyst (Data Analytics)","US Patent and Trademark Office","Anywhere","Full-time and Part-time","152221.5","2023-09-11 16:00:30"
456042,"Data Analyst","Get It Recruit - Healthcare","Anywhere","Full-time","151500.0","2023-09-25 10:59:56"
73304,"Mid-Level Data Analyst","Patterned Learning AI","Anywhere","Full-time","150000.0","2023-07-05 07:01:08"
591850,"Mid-Level Data BI Analyst","Patterned Learning AI","Anywhere","Full-time","150000.0","2023-07-17 07:03:43"
1402149,"Lead Data Analyst - Retirement Product Management","Edward Jones","Anywhere","Full-time","148238.5","2023-05-09 10:04:46"
1694004,"Manager - Data Analyst","EXL Service","Anywhere","Full-time","147285.0","2023-10-23 07:00:06"
1329162,"Data Analyst - up to 160K+","Hire With Jarvis","Anywhere","Full-time","145000.0","2023-04-18 17:59:59"
405581,"Data Analyst","CyberCoders","Anywhere","Full-time","145000.0","2023-05-01 13:00:20"
712558,"Data Scientist Analyst","ALTA IT Services","Anywhere","Full-time","145000.0","2023-02-13 17:13:26"
479485,"Data Analyst","Level","Anywhere","Full-time","145000.0","2023-03-15 16:59:55"
1275642,"Lead Data Analyst","Edward Jones","Anywhere","Full-time","144481.5","2023-01-28 11:00:40"
149006,"People Data Analyst","Insight Global","Anywhere","Full-time","140500.0","2023-07-31 15:05:01"
1090975,"Data Analyst","Uber","Anywhere","Full-time","140500.0","2023-03-24 07:06:43"
208403,"Data Manager","Insight Global","Anywhere","Full-time","140000.0","2023-01-26 16:01:53"
1049000,"Sr. Data Analyst","Sisense","Anywhere","Full-time","140000.0","2023-07-17 22:00:04"
1392859,"Product Data Analyst","Motion Recruitment","Anywhere","Full-time","140000.0","2023-02-14 08:00:35"
762220,"Qlik/Power BI Data Analyst | $130K-$150K + ESOP |100% USA-Remote","IT Pros","Anywhere","Full-time","140000.0","2023-01-03 04:00:05"
1300702,"Data Analyst (Product Data Analyst)","Revolut","Anywhere","Full-time","139000.0","2023-08-04 21:57:48"
388392,"Digital Marketing Data Analyst (Hybrid)","United Services Automobile Association","Anywhere","Full-time","138640.0","2023-08-13 07:01:06"
1482852,"Data Analyst","Overmind","Anywhere","Full-time","138500.0","2023-11-23 12:38:59"
350382,"Lead I - Power BI Data Analyst","Get It Recruit - Information Technology","Anywhere","Full-time","138000.0","2023-10-13 10:01:14"
835092,"Secret Data Analyst Remote / Telecommute Jobs","Insight Global, Inc.","Anywhere","Contractor","137500.0","2023-10-20 23:00:12"
740073,"Data Analytics Manager","WhiteCrow","Anywhere","Full-time","137000.0","2023-07-28 09:39:55"
513988,"Data Analyst - Advanced Analytics","Get It Recruit - Hospitality","Anywhere","Full-time","135000.0","2023-08-27 10:00:07"
479965,"Data Analyst","InvestM Technology LLC","Anywhere","Full-time","135000.0","2023-02-26 01:04:44"
1039859,"Data Analyst / Engineer","Perigon Group","Sydney NSW, Australia","Full-time","135000.0","2023-06-29 06:35:56"
1326467,"Data Analyst","EPIC Brokers","Anywhere","Full-time","135000.0","2023-06-26 17:00:18"
777802,"Lead Data Analyst / SQL Developer","Robert Half","Anywhere","Full-time","135000.0","2023-10-13 00:02:19"
262837,"Quantitative Scientist (Remote)","Osmind","Anywhere","Full-time","132500.0","2023-01-28 08:04:56"
990420,"Data Insights Analyst III","Get It Recruit - Information Technology","Anywhere","Full-time","132500.0","2023-12-12 08:17:27"
311931,"Data Analyst III","SoftDev Incorporated","Anywhere","Full-time","132500.0","2023-09-16 13:02:26"
21451,"Data Analyst must have telecom domain experince","ApTask","Anywhere","Contractor","130000.0","2023-04-28 13:56:12"
1531276,"System Data Analyst","Alpha Silicon","Anywhere","Full-time","130000.0","2023-04-11 20:00:42"
1209798,"Data Analyst","Doximity","Anywhere","Full-time","130000.0","2023-05-08 19:02:19"
92703,"Sr. Data Analyst","Launch Consulting Group","Anywhere","Full-time","130000.0","2023-09-19 13:01:02"
447569,"Lead Data Analyst","Kforce Technology Staffing","Anywhere","Full-time","130000.0","2023-05-03 23:00:16"
1686779,"Data Insights Manager","Get It Recruit - Information Technology","Anywhere","Full-time","130000.0","2023-12-09 09:00:33"
1566076,"Manager, Data Analytics (Bioscience) - Remote","Lonza","Anywhere","Full-time","129000.0","2023-09-19 14:00:05"
1148444,"Data Analyst","Acorns","Anywhere","Full-time","127000.0","2023-06-22 21:00:56"
1791785,"Marketing Data Analyst (Remote)","Cash App","Anywhere","Full-time","127000.0","2023-03-09 07:01:13"
592669,"Behavioral Health Data Analyst- REMOTE","ICF","Anywhere","Full-time","126452.0","2023-07-25 17:41:14"
502626,"Sr Data Analyst, Consultant - Client Facing - Remote","UnitedHealth Group","Anywhere","Full-time","126000.0","2023-02-25 14:00:24"
116211,"Sr Data Analyst - Remote","UnitedHealthcare","Anywhere","Full-time","126000.0","2023-08-31 20:00:20"
1735665,"Mid-Level Decision Science Analyst","USAA","Anywhere","Full-time","125930.0","2023-10-01 08:01:11"
748965,"Strategy and Data Analyst, Sustainability","Uber","Anywhere","Full-time","125500.0","2023-12-14 08:00:06"
900945,"Data Analyst","The Walt Disney Company","Anywhere","Full-time","125000.0","2023-12-27 13:01:03"
595967,"Data Science Analyst 2 (Pop Health)","Starbridge Partners","Anywhere","Full-time","125000.0","2023-01-11 21:06:26"
1229773,"Manager, Data Analytics & Reporting - Remote","Infinity Consulting Solutions, Inc.","Anywhere","Full-time","125000.0","2023-03-14 04:02:08"
1551308,"Investment Data and Analytics Manager","Get It Recruit - Information Technology","Anywhere","Full-time","125000.0","2023-12-12 08:17:55"
300502,"Healthcare Data Analyst","Get It Recruit - Real Estate","Anywhere","Full-time","125000.0","2023-08-18 17:00:58"
285447,"Data Analyst","Robert Half","Anywhere","Full-time","125000.0","2023-05-26 14:59:59"
1216840,"Data Analyst, Operations (Remote)","hims & hers","Anywhere","Full-time","125000.0","2023-02-01 07:01:02"
400967,"Healthcare Data Analyst (Manager)- $120,000-130,000/yr | Remote in PST","PWR Staffing & Recruiting","Anywhere","Full-time","125000.0","2023-08-21 22:01:23"
1682817,"Data Analyst: regional physical security","Blackstone Consulting, Inc.","Anywhere","Full-time","124500.0","2023-05-27 01:00:43"
821092,"Data Analyst, Support Operations","Cloudflare","Anywhere","Full-time","124000.0","2023-02-17 19:02:22"
970857,"Senior Clinical Data Manager/Analyst II","Exact Sciences Corporation","Anywhere","Full-time","123249.5","2023-06-19 22:01:45"
631753,"Data Analytics Manager","Get It Recruit - Information Technology","Anywhere","Full-time","123000.0","2023-07-30 11:00:50"
596565,"Lead Analyst - Data Analytics - Remote","ICF","Anywhere","Full-time","122769.0","2023-08-31 20:30:00"
1015777,"Decision Science Analyst - Consumer Lending","Analytic Recruiting Inc.","Anywhere","Full-time","122500.0","2023-01-20 19:22:47"
238020,"Business Data Analyst with SQL (Strong)","Innova Solutions","Anywhere","Full-time","122500.0","2023-06-19 17:01:37"
841943,"Financial Data Analyst","Get It Recruit - Finance","Anywhere","Full-time","122500.0","2023-07-01 19:00:19"
426033,"Sales Ops Data Analyst (Remote)","CloudFlare","Anywhere","Full-time","122000.0","2023-08-01 23:00:59"
298860,"Sales Ops Data Analyst (Austin, TX or Remote)","Cloudflare","Anywhere","Full-time","122000.0","2023-08-01 23:01:46"
236172,"Data Analytics Analyst","Get It Recruit - Information Technology","Anywhere","Full-time","120000.0","2023-11-04 09:00:10"
587198,"Data Architect","Motion Recruitment","Anywhere","Full-time","120000.0","2023-07-18 06:35:18"
999820,"Business Intelligence Data Analyst","LAI","Anywhere","Full-time","120000.0","2023-11-29 16:00:03"
946582,"Senior Financial and Data Analyst | Hybrid Schedule","Jobot","Anywhere","Full-time","120000.0","2023-09-18 23:40:38"
1191992,"Business Data Analyst","Robert Half","Anywhere","Contractor","120000.0","2023-04-04 15:56:17"
1611348,"Lifeforce: Data Analyst (Remote)","M13","Anywhere","Full-time","120000.0","2023-04-17 22:59:57"
1132443,"Risk Data Analyst","US Development Finance Corporation (formerly Overseas Private Investment Corporation)","Anywhere","Full-time","119908.0","2023-06-20 16:00:30"
